,zipcode,bedrooms,price,weekly_price,monthly_price,cleaning_fee,number_of_reviews,review_scores_rating
4939,11215,2.0,162.0,972.0,4536.0,80.0,109,94.0
4944,11217,2.0,250.0,1500.0,7000.0,120.0,2,100.0
4955,11233,2.0,185.0,1110.0,5180.0,150.0,59,98.0
4962,11221,2.0,75.0,450.0,2100.0,210.0,1,
4965,11211,2.0,350.0,2100.0,4100.0,120.0,2,100.0
4968,11217,2.0,270.0,1900.0,7500.0,120.0,6,87.0
4969,11218,2.0,184.0,1104.0,5152.0,75.0,22,99.0
4976,11211,2.0,170.0,1020.0,4760.0,100.0,18,92.0
4983,11103,2.0,119.0,714.0,3332.0,60.0,196,98.0
4985,11216,2.0,155.0,1135.0,3700.0,95.0,37,87.0
